"","id_num","wave","StartDate","EndDate","duration","ResponseId","def","crime","terror","poor","health","econ","abort","unemploy","blkaid","adopt","imm","vaccines","guns","djt","interest","friends_1","friends_2","friends_3","friends_4","friends_5","tense","death","ewry","values","ideo","partyid","votereport","gender","ethnic","edu","inc","age","state","relig","voting","climate","check","beh_att_1","beh_att_2","beh_att_3","beh_identity","virusthreat","quarantine","sickleave","fourth","id","voting_string","voting_factor"
"15",15,1,2019-05-08 16:40:06,2019-05-08 16:43:16,190,"R_2ag9EJCxRD1R1nr",1,1,2,6,7,3,4,4,6,7,2,1,1,4,7,7,1,3,1,7,2,1,5,5,1,1,2,2,3,8,6,32,24,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2ag9EJCxRD1R1nr","clinton","Clinton"
"16",16,1,2019-05-08 16:40:22,2019-05-08 16:41:20,58,"R_2uvxKYzJslR68X2",7,5,6,4,6,5,6,6,5,5,6,6,6,4,5,3,6,5,6,3,4,4,4,5,5,5,1,1,1,8,6,48,44,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2uvxKYzJslR68X2","trump","Trump"
"17",17,1,2019-05-08 16:41:25,2019-05-08 16:44:55,210,"R_2atU5D8zltL37WQ",2,4,3,6,7,5,4,5,5,7,2,2,3,4,6,7,2,7,2,7,5,5,4,1,1,3,2,2,3,9,2,26,23,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2atU5D8zltL37WQ","clinton","Clinton"
"18",18,1,2019-05-08 16:47:07,2019-05-08 16:55:56,529,"R_XuL0rieAlkX9A2J",5,5,6,6,4,4,3,7,4,1,7,1,1,2,5,3,7,7,7,6,1,7,3,4,6,6,1,1,3,6,4,39,14,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_XuL0rieAlkX9A2J","trump","Trump"
"19",19,1,2019-05-08 16:47:14,2019-05-08 16:56:09,534,"R_bQ4rri6DV5hqeUV",5,7,4,5,7,7,2,5,5,2,4,1,4,3,1,7,7,7,7,7,1,7,5,5,4,NA,4,1,3,7,1,46,23,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_bQ4rri6DV5hqeUV","other","Other"
"20",20,1,2019-05-08 16:48:21,2019-05-08 16:54:31,370,"R_WlcbMGz42DPZA3L",3,4,4,4,7,7,4,7,4,7,4,1,4,4,7,7,3,6,3,7,6,4,7,7,2,3,3,1,5,8,2,54,20,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_WlcbMGz42DPZA3L","other","Other"
"21",21,1,2019-05-08 16:50:37,2019-05-08 16:54:29,231,"R_3p9HGuMA7o75ME5",1,1,1,7,7,5,4,2,2,7,1,1,1,4,6,7,1,2,2,6,4,4,7,4,1,1,2,1,23,5,1,21,11,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3p9HGuMA7o75ME5","clinton","Clinton"
"22",22,1,2019-05-08 16:51:36,2019-05-08 17:00:44,547,"R_2CqYnovJQsXXjGs",7,4,7,5,4,4,1,4,NA,7,7,4,4,1,7,1,5,4,6,1,1,1,4,7,6,6,1,1,3,3,2,60,44,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2CqYnovJQsXXjGs","trump","Trump"
"23",23,1,2019-05-08 16:51:55,2019-05-08 16:55:40,224,"R_1LBDlz7QOAUUsTs",5,5,3,5,7,5,4,7,3,7,5,2,2,4,2,5,3,4,4,4,5,7,7,5,3,3,2,1,3,5,1,40,16,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1LBDlz7QOAUUsTs","clinton","Clinton"
"24",24,1,2019-05-08 16:51:58,2019-05-08 16:54:22,143,"R_1rceTkRrGQLCpG0",4,5,7,1,1,1,3,1,1,5,7,1,7,2,5,5,6,6,6,5,1,1,6,7,6,5,1,2,1,11,6,29,5,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1rceTkRrGQLCpG0","trump","Trump"
"25",25,1,2019-05-08 16:52:30,2019-05-08 17:04:52,742,"R_1iteCYVsDPdAWEU",4,5,3,4,4,5,2,4,1,4,4,6,4,2,5,3,5,7,5,3,2,3,4,5,5,4,1,2,3,6,3,32,29,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1iteCYVsDPdAWEU","trump","Trump"
"26",26,1,2019-05-08 16:53:30,2019-05-08 16:56:28,178,"R_31zuEu0kop9pCJd",7,7,4,4,4,4,1,7,1,7,7,1,1,1,5,1,7,5,7,1,4,4,7,7,7,7,1,1,3,7,1,45,25,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_31zuEu0kop9pCJd","trump","Trump"
"27",27,1,2019-05-08 16:55:51,2019-05-08 17:00:08,256,"R_BSByQ47R1xeG4O5",5,6,6,4,4,6,1,4,1,7,7,3,7,1,3,7,7,7,7,7,2,4,4,6,7,5,1,2,3,8,5,61,24,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_BSByQ47R1xeG4O5","trump","Trump"
"28",28,1,2019-05-08 16:55:59,2019-05-08 17:00:20,260,"R_26aNgejm0cFjrek",1,2,1,7,6,NA,4,6,5,7,1,1,1,4,4,7,3,6,4,7,3,5,5,3,1,2,2,2,3,8,6,24,21,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_26aNgejm0cFjrek","clinton","Clinton"
"29",29,1,2019-05-08 16:56:42,2019-05-08 17:00:11,208,"R_WloAb5vFY3sGzu1",4,4,4,5,5,4,6,5,1,4,6,2,4,1,4,7,7,7,7,7,5,5,7,4,4,6,1,2,3,8,3,50,39,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_WloAb5vFY3sGzu1","trump","Trump"
"30",30,1,2019-05-08 16:57:11,2019-05-08 17:01:20,249,"R_3OgZvzwXb09jxrr",3,3,3,1,1,2,4,1,3,5,5,1,3,2,5,5,5,5,5,5,2,3,2,5,6,5,1,1,3,8,3,26,13,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3OgZvzwXb09jxrr","trump","Trump"
"31",31,1,2019-05-08 16:57:57,2019-05-08 17:04:20,382,"R_1esqr6moWh3gk4c",2,4,2,6,5,4,4,6,5,7,1,1,3,4,7,7,7,7,7,7,2,5,5,4,1,1,2,2,3,5,6,20,10,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1esqr6moWh3gk4c","clinton","Clinton"
"32",32,1,2019-05-08 16:58:14,2019-05-08 17:11:45,810,"R_3NWJO1K1Oj2uHvI",4,6,4,5,7,5,3,4,5,7,4,3,1,4,5,7,5,7,5,7,3,5,5,6,2,3,2,1,3,5,5,33,3,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3NWJO1K1Oj2uHvI","clinton","Clinton"
"33",33,1,2019-05-08 16:58:30,2019-05-08 17:04:55,384,"R_1Ino7RCq2DciNEV",3,4,2,4,5,3,4,3,3,5,5,4,4,2,6,5,5,6,5,4,5,5,5,4,5,5,1,2,3,4,1,29,48,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1Ino7RCq2DciNEV","trump","Trump"
"34",34,1,2019-05-08 16:58:39,2019-05-08 17:05:46,426,"R_2QGuVhE0MxLmfYl",2,2,3,6,7,NA,4,5,6,7,2,1,1,4,7,6,3,5,3,6,5,3,7,6,2,2,2,1,3,8,5,45,39,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2QGuVhE0MxLmfYl","clinton","Clinton"
"35",35,1,2019-05-08 16:58:58,2019-05-08 17:10:21,682,"R_1JEpcEU4nufihZz",3,4,4,4,5,4,2,4,4,NA,7,3,2,2,4,NA,NA,NA,NA,NA,3,5,3,4,6,6,1,2,3,8,6,39,39,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1JEpcEU4nufihZz","trump","Trump"
"36",36,1,2019-05-08 16:59:13,2019-05-08 17:01:03,110,"R_3kNu2djqeykNFA8",1,1,1,7,1,7,4,7,7,7,1,1,1,4,7,7,7,7,7,7,1,1,5,7,1,1,1,2,3,6,2,28,47,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3kNu2djqeykNFA8","trump","Trump"
"37",37,1,2019-05-08 16:59:13,2019-05-08 17:02:17,183,"R_1BRx89DeYmNhW52",6,5,5,3,3,3,3,4,3,7,6,3,5,2,5,7,7,7,7,7,1,2,2,3,6,6,1,1,3,4,6,48,34,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1BRx89DeYmNhW52","trump","Trump"
"38",38,1,2019-05-08 16:59:20,2019-05-08 17:10:28,667,"R_1psRNTArP9TsrL7",1,4,1,7,7,7,4,5,NA,7,4,1,1,4,7,7,5,7,3,7,2,2,3,5,1,1,2,1,13,5,6,25,29,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1psRNTArP9TsrL7","clinton","Clinton"
"39",39,1,2019-05-08 16:59:26,2019-05-08 17:03:02,215,"R_2uC0xS7x1Ocz43E",4,4,3,5,5,4,4,4,4,7,2,1,2,4,3,6,2,7,5,6,5,3,7,2,2,2,2,1,3,8,2,43,34,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2uC0xS7x1Ocz43E","clinton","Clinton"
"40",40,1,2019-05-08 16:59:48,2019-05-08 17:07:26,458,"R_3ET3ukpwXP4LvOw",NA,NA,NA,4,NA,NA,1,4,4,1,NA,NA,3,2,2,4,6,6,6,4,1,3,3,5,6,6,1,1,3,8,2,30,31,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3ET3ukpwXP4LvOw","trump","Trump"
"41",41,1,2019-05-08 17:00:00,2019-05-08 17:04:29,269,"R_2wKtIK9GJ04ZnsR",2,NA,2,7,7,5,4,5,7,7,1,1,1,4,5,7,3,7,2,7,3,1,2,7,2,2,2,1,3,8,4,25,21,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2wKtIK9GJ04ZnsR","clinton","Clinton"
"42",42,1,2019-05-08 17:00:36,2019-05-08 17:04:20,223,"R_1LB6MsegsFWVqw0",4,5,3,3,2,1,3,3,1,4,5,1,5,1,7,6,7,6,7,6,5,5,6,5,7,6,1,2,3,8,6,32,26,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1LB6MsegsFWVqw0","trump","Trump"
"43",43,1,2019-05-08 17:01:02,2019-05-08 17:03:11,129,"R_W7oqVzd7RswaARb",4,5,6,1,2,6,5,1,1,NA,7,4,4,2,4,2,7,4,7,2,3,4,4,6,7,7,1,2,3,8,4,25,50,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_W7oqVzd7RswaARb","trump","Trump"
"44",44,1,2019-05-08 17:01:11,2019-05-08 17:06:43,331,"R_25vzhHcr2bOCuCE",6,5,7,5,5,4,3,5,1,6,5,6,3,2,7,4,7,7,7,7,2,6,4,6,5,6,1,2,3,4,3,43,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_25vzhHcr2bOCuCE","trump","Trump"
"45",45,1,2019-05-08 17:01:35,2019-05-08 17:03:28,113,"R_1FQE03ugRaDknSI",4,4,4,3,4,5,2,3,3,7,3,1,3,3,2,5,5,5,5,5,2,2,5,5,4,4,4,1,3,5,6,22,42,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1FQE03ugRaDknSI","other","Other"
"46",46,1,2019-05-08 17:01:45,2019-05-08 17:05:44,239,"R_1LYzw6Y20p0Zx1m",3,3,4,3,3,2,1,4,3,7,2,1,3,2,5,7,7,7,7,7,2,3,7,5,6,6,1,1,3,8,5,35,44,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1LYzw6Y20p0Zx1m","trump","Trump"
"47",47,1,2019-05-08 17:01:48,2019-05-08 17:06:29,281,"R_UYq7sOLwVmnCOIN",6,4,4,4,4,4,3,4,4,NA,5,2,4,1,5,1,6,7,6,3,1,2,2,6,5,5,1,2,3,8,5,37,11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_UYq7sOLwVmnCOIN","trump","Trump"
"48",48,1,2019-05-08 17:02:08,2019-05-08 17:04:50,161,"R_tLmNWN08JphOdeF",2,3,2,7,7,5,4,6,7,7,1,1,1,4,5,6,2,4,2,5,4,7,5,6,1,2,2,2,3,11,6,32,31,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_tLmNWN08JphOdeF","clinton","Clinton"
"49",49,1,2019-05-08 17:02:20,2019-05-08 17:06:16,236,"R_0wFb2cib7mf4Imd",4,4,4,4,5,6,3,3,4,6,4,2,4,2,4,6,6,6,6,6,5,2,5,4,5,5,1,2,3,8,2,22,23,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_0wFb2cib7mf4Imd","trump","Trump"
"50",50,1,2019-05-08 17:02:21,2019-05-08 17:06:07,226,"R_3qdIA2boiaTSe5E",2,4,1,5,7,7,4,4,5,7,3,1,2,4,4,7,6,7,6,7,2,6,6,4,3,3,2,1,3,8,5,27,31,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3qdIA2boiaTSe5E","clinton","Clinton"
"51",51,1,2019-05-08 17:02:22,2019-05-08 17:04:44,142,"R_umDu583BybiaNhf",1,7,1,1,5,4,4,2,4,4,7,1,1,3,6,2,5,7,5,3,5,2,7,7,6,4,1,1,3,8,4,41,41,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_umDu583BybiaNhf","trump","Trump"
"52",52,1,2019-05-08 17:02:29,2019-05-08 17:05:51,201,"R_3Du72p6oFK6nQjJ",5,3,2,7,7,5,3,7,4,7,7,1,7,3,7,5,4,7,4,7,1,5,5,1,3,4,3,2,3,9,6,51,34,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3Du72p6oFK6nQjJ","trump","Trump"
"53",53,1,2019-05-08 17:02:32,2019-05-08 17:06:18,225,"R_1H2ajbUCnhGX3h4",3,NA,1,7,6,7,4,5,5,NA,3,3,3,3,4,6,4,6,5,6,2,5,3,5,3,3,4,2,4,8,3,23,15,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1H2ajbUCnhGX3h4","other","Other"
"54",54,1,2019-05-08 17:02:37,2019-05-08 17:05:33,175,"R_31RHf28IZHwi3KC",3,5,4,6,4,4,4,4,4,7,4,1,2,4,4,NA,NA,NA,NA,NA,2,5,4,4,3,3,2,1,5,4,3,36,37,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_31RHf28IZHwi3KC","clinton","Clinton"
"55",55,1,2019-05-08 17:02:37,2019-05-08 17:09:44,426,"R_20YjkC7LxjjPPVB",6,4,4,3,4,5,3,3,3,6,5,5,3,2,4,6,6,6,6,6,1,1,3,3,5,6,1,1,3,8,2,36,50,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_20YjkC7LxjjPPVB","trump","Trump"
"56",56,1,2019-05-08 17:03:02,2019-05-08 17:09:21,378,"R_1rJopcDW3xCSYLl",6,4,7,4,4,4,1,4,4,4,7,4,6,1,6,7,7,7,7,7,1,1,1,5,6,5,1,1,3,4,4,61,44,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1rJopcDW3xCSYLl","trump","Trump"
"57",57,1,2019-05-08 17:03:04,2019-05-08 17:09:47,403,"R_1JROqO1bpDtbgNf",4,5,4,4,4,3,4,3,4,3,5,2,4,2,6,2,6,7,6,3,3,5,6,2,6,6,1,2,3,8,5,42,14,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1JROqO1bpDtbgNf","trump","Trump"
"58",58,1,2019-05-08 17:03:11,2019-05-08 17:11:33,501,"R_3kHXnEPwRU68GdS",1,6,1,6,7,7,3,6,1,6,3,5,1,4,5,5,5,7,5,5,6,7,5,7,4,4,4,2,3,8,3,36,43,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3kHXnEPwRU68GdS","other","Other"
"59",59,1,2019-05-08 17:03:17,2019-05-08 17:09:15,358,"R_33euARdEBBqIJt4",3,5,3,4,4,3,4,3,5,5,7,1,5,1,6,7,7,7,7,7,5,7,6,1,5,5,1,2,3,7,3,21,14,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_33euARdEBBqIJt4","trump","Trump"
"60",60,1,2019-05-08 17:03:32,2019-05-08 17:05:39,126,"R_2YlhYCcuN3IYnFF",1,4,1,7,7,1,4,7,5,7,1,1,1,4,5,4,4,4,4,4,3,3,7,4,2,3,2,3,3,8,5,30,10,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2YlhYCcuN3IYnFF","clinton","Clinton"
"61",61,1,2019-05-08 17:03:52,2019-05-08 17:09:23,330,"R_1CfjBctZ6ECzpHJ",3,6,NA,5,7,7,2,4,4,3,6,6,4,3,6,6,6,6,6,NA,5,3,6,7,6,5,1,2,4,8,1,25,5,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1CfjBctZ6ECzpHJ","trump","Trump"
"62",62,1,2019-05-08 17:03:56,2019-05-08 17:08:00,243,"R_3OozutpGEVMx7T5",4,4,4,4,7,4,4,4,6,7,2,1,1,4,7,7,2,6,2,7,5,7,5,5,1,1,2,1,3,5,4,30,23,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3OozutpGEVMx7T5","clinton","Clinton"
"63",63,1,2019-05-08 17:03:58,2019-05-08 17:09:49,351,"R_1Ov4RyosMDyheCM",3,4,4,5,7,6,4,NA,5,7,1,1,1,4,4,7,7,7,7,7,4,2,5,7,4,4,4,2,3,4,6,26,39,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1Ov4RyosMDyheCM","other","Other"
"64",64,1,2019-05-08 17:04:15,2019-05-08 17:06:25,129,"R_0DRBQNJIiHypFWV",4,4,4,4,4,4,1,1,4,4,4,4,NA,2,7,7,7,7,7,7,1,1,7,7,7,7,1,1,3,9,6,61,15,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_0DRBQNJIiHypFWV","trump","Trump"
"65",65,1,2019-05-08 17:04:22,2019-05-08 17:09:06,283,"R_0JtT8EwfBN6WPyF",4,4,4,6,7,4,4,7,3,7,4,1,4,3,5,6,4,6,6,6,2,1,7,6,3,4,1,1,3,7,4,54,44,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_0JtT8EwfBN6WPyF","trump","Trump"
"66",66,1,2019-05-08 17:04:24,2019-05-08 17:07:38,193,"R_Wd1MJnTfoEux7sB",4,4,4,4,5,4,2,4,4,5,4,5,4,3,4,4,4,4,4,4,2,2,5,5,6,5,1,2,3,8,3,45,38,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_Wd1MJnTfoEux7sB","trump","Trump"
"67",67,1,2019-05-08 17:04:25,2019-05-08 17:08:32,246,"R_YQ7dfYS9SwT1mHT",5,2,5,3,3,4,4,3,3,1,6,1,7,2,6,7,7,7,7,7,5,6,6,5,5,5,1,2,3,11,6,32,41,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_YQ7dfYS9SwT1mHT","trump","Trump"
"68",68,1,2019-05-08 17:04:29,2019-05-08 17:10:09,339,"R_3phTgAsGQ1OxH5L",4,4,4,4,3,4,3,4,4,6,6,2,4,2,6,7,7,7,7,7,1,3,5,5,5,5,1,2,3,8,2,70,23,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3phTgAsGQ1OxH5L","trump","Trump"
"69",69,1,2019-05-08 17:04:46,2019-05-08 17:10:47,360,"R_vwMIznkZLHqoFgt",4,7,4,7,4,4,2,4,1,7,1,7,7,1,7,1,7,4,7,1,1,2,4,4,7,6,1,1,3,7,3,45,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_vwMIznkZLHqoFgt","trump","Trump"
"70",70,1,2019-05-08 17:04:54,2019-05-08 17:09:03,248,"R_2Spm7AAdpYPEdPX",4,5,4,6,7,5,4,5,6,7,4,1,1,4,5,7,2,7,6,7,5,4,5,6,2,2,2,1,3,9,3,24,34,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2Spm7AAdpYPEdPX","clinton","Clinton"
"71",71,1,2019-05-08 17:05:06,2019-05-08 17:08:38,211,"R_2TRJk9zZUppYoV5",1,1,1,7,7,4,4,7,7,7,1,1,1,4,6,7,1,2,2,5,7,7,6,7,1,1,2,1,23,7,4,36,5,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2TRJk9zZUppYoV5","clinton","Clinton"
"72",72,1,2019-05-08 17:05:11,2019-05-08 17:07:23,131,"R_TuSXwK1B4sddGOR",4,5,5,4,5,4,4,3,4,3,5,1,2,2,5,5,7,6,7,5,2,2,2,3,5,5,1,2,3,10,5,29,34,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_TuSXwK1B4sddGOR","trump","Trump"
"73",73,1,2019-05-08 17:05:49,2019-05-08 17:09:47,238,"R_2aIZcVcLklckdLN",3,4,3,4,7,4,3,4,4,7,5,2,2,2,4,5,5,5,5,5,5,5,5,5,5,5,1,2,3,5,3,37,44,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2aIZcVcLklckdLN","trump","Trump"
"74",74,1,2019-05-08 17:05:56,2019-05-08 17:09:41,225,"R_27lH8jpRLHG3gSb",6,4,6,3,4,5,1,3,2,NA,6,2,4,2,3,3,7,NA,3,7,2,2,2,6,6,6,1,1,3,8,4,25,28,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_27lH8jpRLHG3gSb","trump","Trump"
"75",75,1,2019-05-08 17:05:58,2019-05-08 17:14:47,528,"R_3RvKJzm9xT1P4sQ",6,4,5,6,4,4,2,6,3,6,7,4,5,2,4,7,7,7,7,7,5,6,5,2,5,6,1,1,3,8,4,39,23,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3RvKJzm9xT1P4sQ","trump","Trump"
